##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): March 30, 2015, 4:41 p.m.
## Download Date (Y/M/D): 
##
## Query String: 
##
#KIC,period,bjd0,morph,T2/T1,rho1+rho2,q,e_sin_omega,e_cos_omega,FF,sin_i,SC,
10084115,0.3056657,54964.762598,0.89,-999,-999,-999,-999,-999,-999,-999,False,
10395202,0.3059446,54964.644504,0.81,-999,-999,-999,-999,-999,-999,-999,False,
6504095,0.3067754,54964.642283,0.96,-999,-999,-999,-999,-999,-999,-999,False,
11245381,0.3069917,54953.641745,0.74,-999,-999,-999,-999,-999,-999,-999,True,
7773380,0.3075778,54964.888998,0.95,-999,-999,-999,-999,-999,-999,-999,False,
10723143,0.3076416,54964.845615,0.78,-999,-999,-999,-999,-999,-999,-999,False,
5563814,0.3082342,54964.684778,0.90,-999,-999,-999,-999,-999,-999,-999,False,
10285661,0.3082916,55002.038068,0.78,-999,-999,-999,-999,-999,-999,-999,False,
9245929,0.3083748,54964.747929,0.94,-999,-999,-999,-999,-999,-999,-999,False,
5307780,0.3088511,54964.977524,0.88,-999,-999,-999,-999,-999,-999,-999,False,
11305087,0.3092669,54964.836735,0.78,-999,-999,-999,-999,-999,-999,-999,False,
7035139,0.3097412,54964.848905,0.79,-999,-999,-999,-999,-999,-999,-999,False,
4168013,0.3108761,55002.048341,0.83,-999,-999,-999,-999,-999,-999,-999,False,
11151970,0.3116291,54954.073794,0.87,-999,-999,-999,-999,-999,-999,-999,False,
11084647,0.3116736,54964.747435,0.83,-999,-999,-999,-999,-999,-999,-999,False,
8559716,0.3121544,55000.112507,0.73,-999,-999,-999,-999,-999,-999,-999,False,
6265720,0.3124277,54964.729666,0.93,-999,-999,-999,-999,-999,-999,-999,False,
11442348,0.3128408,54964.605336,0.75,-999,-999,-999,-999,-999,-999,-999,False,
10801703,0.3130925,54964.830909,0.85,-999,-999,-999,-999,-999,-999,-999,False,
6966265,0.3134353,54964.757106,0.75,-999,-999,-999,-999,-999,-999,-999,False,
11137143,0.3135334,54964.781971,0.91,-999,-999,-999,-999,-999,-999,-999,False,
8029708,0.3135574,55000.601078,0.74,-999,-999,-999,-999,-999,-999,-999,False,
4569923,0.3135835,54964.660415,0.81,-999,-999,-999,-999,-999,-999,-999,False,
12071741,0.3142642,54964.817555,0.94,-999,-999,-999,-999,-999,-999,-999,False,
5283266,0.3146487,54964.677104,0.80,-999,-999,-999,-999,-999,-999,-999,False,
7821450,0.3147619,54964.681405,0.80,-999,-999,-999,-999,-999,-999,-999,False,
10322296,0.3150326,54964.780304,0.83,-999,-999,-999,-999,-999,-999,-999,False,
8545456,0.3152045,54953.665175,0.76,-999,-999,-999,-999,-999,-999,-999,True,
5283839,0.3152311,54964.855369,0.92,-999,-999,-999,-999,-999,-999,-999,False,
3353233,0.3157777,55002.057634,0.74,-999,-999,-999,-999,-999,-999,-999,False,
4249218,0.3161948,54964.857382,0.75,-999,-999,-999,-999,-999,-999,-999,False,
6431545,0.3168339,54964.596805,0.91,-999,-999,-999,-999,-999,-999,-999,False,
7533807,0.3168452,54964.670530,0.96,-999,-999,-999,-999,-999,-999,-999,False,
7953796,0.3175482,54964.848282,0.94,-999,-999,-999,-999,-999,-999,-999,False,
3545476,0.3176886,54964.747751,0.88,-999,-999,-999,-999,-999,-999,-999,False,
9994475,0.3184064,54964.736082,0.76,-999,-999,-999,-999,-999,-999,-999,False,
9347868,0.3184700,54964.835249,0.82,-999,-999,-999,-999,-999,-999,-999,False,
9005043,0.3202380,55002.139462,0.71,-999,-999,-999,-999,-999,-999,-999,False,
11722816,0.3203734,54964.744235,0.82,-999,-999,-999,-999,-999,-999,-999,False,
10032935,0.3205160,54964.672349,0.75,-999,-999,-999,-999,-999,-999,-999,False,
9145707,0.3207706,54964.766143,0.74,-999,-999,-999,-999,-999,-999,-999,False,
11303416,0.3207842,54964.927759,0.93,-999,-999,-999,-999,-999,-999,-999,False,
2571439,0.3209791,54964.703587,0.93,-999,-999,-999,-999,-999,-999,-999,False,
9181877,0.3210098,54953.793919,0.74,-999,-999,-999,-999,-999,-999,-999,False,
5983351,0.3211859,55001.955816,-1.00,-999,-999,-999,-999,-999,-999,-999,False,
9713664,0.3212360,54964.678093,0.88,-999,-999,-999,-999,-999,-999,-999,False,
7118656,0.3213551,54964.747738,0.93,-999,-999,-999,-999,-999,-999,-999,False,
8330092,0.3217236,54964.943576,0.79,-999,-999,-999,-999,-999,-999,-999,True,
2854432,0.3223256,54964.884847,0.90,-999,-999,-999,-999,-999,-999,-999,False,
9991887,0.3223957,54964.751739,0.87,-999,-999,-999,-999,-999,-999,-999,False,
6061139,0.3224413,54964.913384,0.75,-999,-999,-999,-999,-999,-999,-999,False,
4474193,0.3225048,54964.738770,0.88,-999,-999,-999,-999,-999,-999,-999,False,
5984000,0.3230583,54964.657518,0.80,-999,-999,-999,-999,-999,-999,-999,False,
7627059,0.3236502,55002.006911,0.80,-999,-999,-999,-999,-999,-999,-999,False,
7199183,0.3240920,55002.030763,0.97,-999,-999,-999,-999,-999,-999,-999,False,
5195137,0.3241170,54964.554051,0.92,-999,-999,-999,-999,-999,-999,-999,False,
7280704,0.3243504,54953.708801,0.93,-999,-999,-999,-999,-999,-999,-999,False,
8956957,0.3243816,54964.751029,0.97,-999,-999,-999,-999,-999,-999,-999,False,
6264091,0.3250179,54964.644781,0.97,-999,-999,-999,-999,-999,-999,-999,False,
3439180,0.3250651,55002.039112,0.75,-999,-999,-999,-999,-999,-999,-999,False,
7685689,0.3251596,55001.994674,0.77,-999,-999,-999,-999,-999,-999,-999,False,
5791886,0.3251705,54999.992375,0.76,-999,-999,-999,-999,-999,-999,-999,False,
8555573,0.3263619,54964.831437,0.96,-999,-999,-999,-999,-999,-999,-999,False,
2694741,0.3266474,54953.773811,0.93,-999,-999,-999,-999,-999,-999,-999,False,
8481574,0.3268648,54964.728369,0.95,-999,-999,-999,-999,-999,-999,-999,True,
6507541,0.3272122,54964.705557,0.92,-999,-999,-999,-999,-999,-999,-999,False,
3956545,0.3302801,54964.884961,0.74,-999,-999,-999,-999,-999,-999,-999,False,
11289003,0.3303413,55000.019764,0.96,-999,-999,-999,-999,-999,-999,-999,False,
8245326,0.3307674,55001.985218,0.94,-999,-999,-999,-999,-999,-999,-999,False,
9519590,0.3308941,54964.677529,0.88,-999,-999,-999,-999,-999,-999,-999,True,
2141697,0.3310425,54953.838387,0.98,-999,-999,-999,-999,-999,-999,-999,False,
7696778,0.3312357,55000.007733,0.78,-999,-999,-999,-999,-999,-999,-999,False,
11751847,0.3314836,54964.716670,0.94,-999,-999,-999,-999,-999,-999,-999,False,
8097902,0.3315636,54999.994061,0.74,-999,-999,-999,-999,-999,-999,-999,False,
9237755,0.3316703,54964.782121,0.98,-999,-999,-999,-999,-999,-999,-999,False,
7204041,0.3316792,54953.969392,0.93,-999,-999,-999,-999,-999,-999,-999,False,
11672319,0.3317754,54964.817443,0.94,-999,-999,-999,-999,-999,-999,-999,False,
12458133,0.3325218,54964.899709,0.76,-999,-999,-999,-999,-999,-999,-999,False,
8190613,0.3325852,54964.804370,0.91,-999,-999,-999,-999,-999,-999,-999,False,
9786165,0.3326251,54999.874947,0.72,-999,-999,-999,-999,-999,-999,-999,False,
