kicid,num_peaks,peak_id,accept_bic,accept_time,channel,skygroup,module,output,quarter,season,chunk,t0,s2n,bkg,depth,depth_ivar,transit_ror,transit_duration,transit_time,transit_depth,transit_impact,chunk_min_time,chunk_max_time,centroid_offset,centroid_offset_err,lnlike_gp,lnlike_outlier,lnlike_box1,lnlike_box2,lnlike_step,lnlike_transit,bic_gp,bic_outlier,bic_box1,bic_box2,bic_step,bic_transit,offset,accept_offset,accept_impact,accept
10676871,2,0,False,False,50,34,15,2,6,0,21,628.9186736814937,55.14668232761114,1.4423785597474206,0.003990233152553786,764015599.8126957,0.02265223426882864,1.610614866291392,629.5705891603299,0.0006713053594352703,0.0,618.7939144619523,629.296609046869,0.00045335606054010556,0.0001930911454219759,,,3474.123998254995,,,3477.231248645647,,,3455.4801739597283,,,3455.480120301169,0.674881726801732,False,True,False
10676871,2,1,False,True,50,34,15,2,6,0,21,610.3186736814966,36.88049893134777,1.4561240631546544,0.0013793543063870418,714894475.7988662,0.0020420038324301345,1.256030743834411,610.6536304289177,5.386052736477964e-06,0.18915560774422455,605.0217972010214,615.6267465357232,0.0003382074910409062,0.00013427884554585148,3468.186423240235,,3459.7985922741163,,3462.0358207783106,3467.942462082,3455.757207043391,,3441.1547679788487,,3430.9627802862,3446.191333737522,62.792862599908794,False,True,False
10612076,1,0,False,False,78,34,23,2,13,3,45,1214.3473775155287,91.64045978359755,2.6587378875078285,0.004715319893083895,974833023.9457213,0.017774492903460632,1.4644256814810184,1214.996810381355,0.0004133401631218892,0.0,1204.2946973660946,1214.9613815850535,0.0003732710570082149,6.386428780541944e-05,3525.789430564976,,3519.458746026702,,3526.5725764285166,3527.3152656005827,3513.360214368132,,3500.8149217314362,,3495.4995359364057,3505.564137256105,0.9026869449862646,False,True,False
10613792,2,0,False,True,6,34,3,2,3,1,8,273.61580837094465,208.8426466734396,2.971864777031541,0.010034661162278956,433163226.4991429,0.018602690120470902,1.7020408163265306,273.54432963080257,0.0004527540645705708,0.0,267.98953016028827,279.2276948921281,0.00013350097243914328,0.0005851232843057943,,,3204.8810142833895,,,3204.274004460735,,,3186.2371899881227,,,3182.5228761162566,0.29473071535605827,True,True,False
10613792,2,1,True,True,50,34,15,2,10,0,32,940.5031412227934,193.2845745295357,3.812938423229657,0.009442847491008342,461732960.5569997,0.2408655808625969,0.4307713917150044,940.4537376748959,0.020854960678498013,1.0,937.8031412227938,949.0009341279874,0.014808813440366385,0.0001463505562403102,3081.766758175487,3081.6852330136285,3081.927677409858,3090.452189328484,2583.0278530647274,3187.285538403293,3069.3375419786425,3066.148712767573,3063.2838531145912,3071.8083650332173,2551.9548125726164,3165.5344100588154,0.6952770826042444,False,False,False
10518183,1,0,False,True,73,9,22,1,2,0,5,249.693017892399,17.33045406767524,0.630552011779576,0.0006191806131428509,1296605928.926468,0.02424286435851261,0.7452714966592182,249.726026939463,0.0006509576978687147,0.6217426690538691,239.3211159542116,250.74324623485157,0.003449028106420596,0.0018959559352824849,,,3633.176292180765,,3670.885664668085,3647.3149637249508,,,3614.5324678854986,,3639.8126241759746,3625.563835380473,5.294941508963773,False,True,False
10527172,1,0,False,True,48,24,14,4,15,1,67,1387.4583027024314,151.5063376201589,2.7389340294987576,0.00082701469415057,33561019750.73744,0.034291284586358044,0.313898892218043,1387.2940802476846,0.0015382064562401432,0.0,1381.8449921681458,1393.0831345989645,0.0009131596882246516,2.3830106051734205e-05,,,4034.714150128559,,4250.944769014211,4083.852703281645,,,4016.070325833293,,4219.871728522099,4062.101574937167,0.5927390672415068,False,True,False
10514649,1,0,False,False,11,11,4,3,16,2,72,1488.9889743172944,150.14827697228174,5.008836297633319,0.008774113112407445,4048734462.363657,0.02570336071118621,1.6773086979167946,1488.5922128780398,0.0008643039884391747,0.0,1488.6889743172944,1498.0271055506234,0.00019222637598300716,0.00027751279533482924,3255.660194676117,,3256.7240168062517,,3245.4262297063965,3262.1687280248766,3243.464046111785,,3238.4297939597527,,3214.935858295565,3240.8254680372947,0.22221375410565755,True,True,False
10610215,2,0,False,True,50,34,15,2,6,0,21,611.5186743115363,86.36864654995192,2.709045923422466,0.003024266976512225,815590161.8779923,0.017911427642267296,2.140164101578561,611.2981692999473,0.0004197330802502286,0.0,606.0026017584677,617.0162059727809,0.00022617053188428115,5.0785933206055104e-05,3495.6506047614644,,3492.4119849349077,,3493.8160010638194,3497.7360051483124,3483.2213885646197,,3473.7681606396413,,3462.7429605717084,3475.984876803834,0.5386175435481377,False,True,False
10610215,2,1,False,True,50,34,15,2,6,0,21,624.1186743115343,78.95963488990894,2.9518674781621623,0.002722115661685128,841954155.3872879,0.01983396804639063,0.7992844351696204,623.8415980012778,0.0005146671347182609,0.00012785188649092763,618.2626388564678,629.2965946071781,0.00015209327137175597,4.443106498760069e-05,3505.1113228656127,,3503.976577053856,,3502.380584815022,3509.765109203892,3492.6821066687685,,3485.332752758589,,3471.307544322911,3488.0139808594136,0.29536565230026823,True,True,False
