##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): June 28, 2016, 4:08 p.m.
## Download Date (Y/M/D): 2016/06/29
##
## Query String: {&quot;sort&quot;:&quot;p&quot;,&quot;kics&quot;:[],&quot;campaign&quot;:[&quot;-2&quot;],&quot;etvlong&quot;:true,&quot;cols&quot;:[&quot;etv&quot;,&quot;glon&quot;,&quot;scdata&quot;,&quot;bjd0&quot;,&quot;morph&quot;,&quot;glat&quot;,&quot;kic&quot;,&quot;lcdata&quot;,&quot;keff&quot;,&quot;p&quot;,&quot;figs&quot;,&quot;bjd0err&quot;,&quot;perr&quot;,&quot;kmag&quot;],&quot;etvshort&quot;:true,&quot;incat1&quot;:true,&quot;incat0&quot;:true,&quot;kois&quot;:[]}
##
#KIC,period,period_err,bjd0,bjd0_err,morph,GLon,GLat,kmag,Teff,SC,ETV,
10417986,0.0737309,0.0000000,55000.027476,0.004231,0.99,81.0390,11.0820,9.1280,-1.0000,True,short,
8189801,0.0743800,-1,55067.751444,-1,-1.00,78.6611,8.0242,15.7450,4032.0000,False,short,
11858293,0.0746547,-1,55014.240429,-1,0.83,81.0774,17.0941,13.4280,8001.0000,False,short,
2857323,0.0761790,0.0000000,55075.917080,0.010447,-1.00,70.9880,9.4398,13.3420,7725.0000,False,short,
5724811,0.0766243,-1,54964.587953,-1,0.73,75.2100,7.7764,12.2830,5679.0000,False,short,
4902475,0.0776400,0.0000000,55000.966259,0.002080,-1.00,70.0095,16.3802,13.8080,7172.0000,False,short,
10427996,0.0782220,-1,55002.020000,-1,-1.00,81.9932,9.4792,10.5060,-1.0000,False,short,
6947064,0.0877556,-1,55000.627977,-1,0.95,74.6029,12.1744,11.2760,8172.0000,True,short,
5097868,0.0880900,0.0000000,54989.440410,0.000289,-1.00,72.6399,11.1952,15.1880,5596.0000,False,short,
4242315,0.0891002,-1,54999.995853,-1,0.98,69.7164,15.2631,12.3250,6985.0000,False,short,
8750029,0.0891310,-1,55002.020000,-1,-1.00,76.7257,13.8249,9.6580,-1.0000,True,short,
10355055,0.0905600,-1,55002.015720,-1,-1.00,81.1045,10.6781,9.3830,8110.0000,True,short,
2168333,0.0921000,-1,55002.028900,-1,-1.00,70.8713,8.7294,10.0880,8137.0000,True,short,
8912468,0.0948380,0.0000000,54953.576945,0.005326,0.98,80.1095,7.8882,11.7510,6194.0000,False,short,
8127586,0.0959700,-1,55060.895176,-1,-1.00,79.1611,7.0517,14.9260,5769.0000,False,short,
10813841,0.0969100,-1,55009.487944,-1,-1.00,81.8494,10.8171,15.4060,5883.0000,False,short,
8501062,0.0995300,-1,55068.517811,-1,-1.00,77.4783,11.3493,13.4240,5954.0000,False,short,
7457355,0.0995500,-1,55002.071750,-1,-1.00,76.5226,9.8375,13.4630,6572.0000,False,short,
10812504,0.0997200,0.0000000,55009.487944,0.011175,-1.00,81.7274,11.0327,15.5770,3918.0000,False,short,
10362031,0.1000000,-1,55010.464025,-1,-1.00,81.8344,9.5732,12.6180,-1.0000,False,short,
7841434,0.1000000,-1,55002.020000,-1,-1.00,77.7835,8.6239,13.7500,7003.0000,False,short,
10095496,0.1003837,-1,54999.997805,-1,0.97,81.2804,9.6904,13.2390,6949.0000,False,short,
10285770,0.1009090,-1,54953.618063,-1,0.96,80.6911,11.2994,13.4680,7654.0000,False,short,
9728465,0.1011400,-1,54993.360550,-1,-1.00,80.5417,9.6288,12.8650,6111.0000,False,short,
9115681,0.1021000,-1,55002.020000,-1,-1.00,80.3088,8.2049,13.0270,6408.0000,False,short,
10491044,0.1050689,-1,55013.884858,-1,-1.00,81.8182,9.9408,15.9570,4873.0000,False,short,
9450940,0.1055871,-1,55000.001413,-1,0.97,76.0717,17.9351,12.7330,8213.0000,True,short,
9964670,0.1064062,-1,55015.069503,-1,-1.00,80.5319,10.5964,15.3160,4985.0000,False,short,
8758716,0.1072049,0.0000000,54953.672989,0.006197,1.00,77.7478,11.6565,13.5310,-1.0000,False,short,
8260234,0.1102897,-1,55067.751444,-1,-1.00,79.1257,7.5761,14.1670,5035.0000,False,short,
9536692,0.1104600,-1,55005.545838,-1,-1.00,79.5193,10.9822,15.5510,5030.0000,False,short,
10855535,0.1127824,0.0000000,54964.629315,0.006374,0.99,79.3949,15.9212,13.8700,7555.0000,False,short,
9050337,0.1139400,0.0000000,55002.020000,0.006856,-1.00,80.1929,8.0406,12.5980,7121.0000,False,short,
8330102,0.1153670,-1,54995.859880,-1,-1.00,79.6423,6.9575,13.4790,7665.0000,False,short,
5900260,0.1153700,-1,55002.018070,-1,-1.00,75.8721,7.2003,13.4130,6365.0000,False,short,
9837267,0.1199300,-1,55001.967228,-1,-1.00,79.4429,12.0769,12.5200,8004.0000,False,short,
5609486,0.1215020,-1,-1,-1,-1.00,72.1918,13.4031,15.4250,9024.0000,False,short,
5213902,0.1223100,-1,54978.162170,-1,-1.00,75.2057,6.6333,14.0290,5943.0000,False,short,
7890222,0.1227600,-1,55002.034920,-1,-1.00,75.8294,12.5989,12.8370,7058.0000,False,short,
4544967,0.1239700,-1,55001.992750,-1,-1.00,70.2795,14.6282,12.9750,6092.0000,False,short,
4141155,0.1257339,-1,54953.701395,-1,1.00,70.1614,14.1102,12.1210,6489.0000,False,short,
9472174,0.1257653,0.0000001,54953.643178,0.018318,0.78,79.0187,11.6745,12.2640,10645.0000,True,short,
3648131,0.1297400,-1,55002.029050,-1,-1.00,71.4968,10.0142,13.4760,7475.0000,False,short,
7915515,0.1321600,-1,55002.003940,-1,-1.00,78.3954,7.8355,12.8200,6746.0000,False,short,
9612468,0.1334715,0.0000001,54953.603803,0.007568,1.00,81.0112,8.5285,11.5310,7202.0000,False,short,
9851822,0.1364800,-1,55002.082604,-1,-1.00,80.9932,9.3005,13.9020,6374.0000,False,short,
9655419,0.1369726,-1,55067.644418,-1,0.95,79.2215,11.9990,12.6590,-1.0000,True,short,
9649801,0.1388000,-1,55002.052266,-1,-1.00,78.4407,13.3668,13.5250,8461.0000,False,short,
5618071,0.1388500,-1,54981.083019,-1,-1.00,73.1143,11.5550,13.7470,4877.0000,False,short,
5950759,0.1406100,0.0000001,55002.031060,0.034677,-1.00,72.6657,13.4048,13.9640,7844.0000,True,short,
3245420,0.1418720,-1,55000.021583,-1,0.99,71.8095,8.4982,10.5640,7873.0000,True,short,
8453431,0.1443000,-1,55002.038510,-1,-1.00,79.0284,8.2955,12.5340,6968.0000,False,short,
2572370,0.1445000,-1,55001.996180,-1,-1.00,70.1615,10.5903,14.7120,5052.0000,False,short,
7878396,0.1492494,-1,55009.490442,-1,0.97,74.2658,15.8216,11.3370,-1.0000,False,short,
6613627,0.1507996,0.0000001,55115.344848,0.008552,0.98,75.1606,10.2517,12.5480,7090.0000,False,short,
7900367,0.1509800,-1,55002.064510,-1,-1.00,76.9763,10.3912,11.2820,6972.0000,True,short,
5302006,0.1511712,0.0000001,54980.509040,0.007778,0.97,75.3495,6.6449,15.0500,6536.0000,False,short,
9898401,0.1527742,0.0000001,54964.733972,0.008810,0.99,79.6654,11.8375,12.0730,7376.0000,False,short,
2853280,0.1538500,0.0000001,55070.371490,0.009613,-1.00,70.6953,10.0338,10.9660,7320.0000,True,short,
9655438,0.1539385,-1,55001.995113,-1,1.00,79.1651,11.9658,12.2590,6974.0000,True,short,
5358323,0.1550000,-1,55001.984440,-1,-1.00,72.6443,11.9499,13.1130,6874.0000,False,short,
11815158,0.1557279,-1,55014.162255,-1,1.00,82.0662,14.7029,12.5070,6600.0000,False,short,
6629156,0.1562200,-1,55007.047310,-1,-1.00,76.5244,7.8635,14.6700,6173.0000,False,short,
5024482,0.1574101,-1,54989.440410,-1,-1.00,73.9786,8.4814,12.2030,-1.0000,False,short,
8585472,0.1595000,-1,55002.010068,-1,-1.00,79.4626,7.8750,13.2490,6451.0000,False,short,
5008501,0.1600000,-1,54989.449356,-1,-1.00,72.4400,11.4004,14.4790,6311.0000,False,short,
7375612,0.1600729,0.0000001,54953.638704,0.008521,0.97,76.4714,9.6904,12.0410,6682.0000,False,short,
6366617,0.1603464,-1,55002.923440,-1,0.98,74.4733,11.0109,12.1520,7468.0000,False,short,
6231538,0.1629200,-1,55001.974840,-1,-1.00,76.3888,6.9433,13.7370,6488.0000,False,short,
5857714,0.1635690,-1,55115.240187,-1,-1.00,71.3526,16.1831,11.2150,6711.0000,False,short,
3338680,0.1713100,-1,55002.027710,-1,-1.00,70.7068,11.0359,12.7470,6978.0000,False,short,
7300184,0.1715000,-1,55001.955930,-1,-1.00,76.8301,8.7824,15.4300,6501.0000,False,short,
5872696,0.1726132,0.0000001,54953.798710,0.009822,0.99,73.2243,12.1282,11.8540,-1.0000,False,short,
8556077,0.1733500,-1,55068.517811,-1,-1.00,76.3168,13.7521,11.8260,6452.0000,True,short,
7767774,0.1733883,0.0000001,55007.740259,0.009929,0.99,77.3150,9.3041,12.5110,-1.0000,False,short,
5545815,0.1741610,0.0000001,54981.083019,0.008054,-1.00,74.4697,8.8003,14.6850,5730.0000,False,short,
3731292,0.1751173,-1,54953.706394,-1,1.00,69.6548,14.1333,12.4940,6662.0000,False,short,
9970841,0.1780100,-1,55001.991160,-1,-1.00,81.0893,9.4920,13.4530,-1.0000,False,short,
4829935,0.1844995,-1,55001.558584,-1,-1.00,71.8801,11.9491,14.7790,6065.0000,False,short,
12350008,0.1845296,0.0000001,55002.014438,0.007796,0.71,81.7612,18.1985,14.6020,6108.0000,False,short,
4927495,0.1851906,-1,55003.031292,-1,0.83,72.9770,10.1032,13.5390,7460.0000,False,short,
9368524,0.1903400,-1,55001.117860,-1,-1.00,80.8439,8.0731,13.8680,5787.0000,False,short,
11361283,0.1915200,0.0000001,54992.423608,0.003406,-1.00,82.4366,11.8347,15.8460,4803.0000,False,short,
9051991,0.1925280,-1,55002.020000,-1,-1.00,80.3958,7.8006,13.4710,5596.0000,False,short,
10684673,0.1925563,0.0000001,55026.598808,0.010851,1.00,81.9764,10.3016,11.1250,7106.0000,True,short,
12599532,0.1939100,-1,55003.283657,-1,0.88,82.6372,17.5000,15.9910,5060.0000,False,short,
7283317,0.1939400,0.0000001,55002.050120,0.011824,-1.00,75.2404,11.7646,11.8120,6863.0000,False,short,
4656194,0.1953602,-1,55012.648713,-1,0.97,72.4237,10.4278,10.5430,-1.0000,False,short,
9306095,0.1965800,-1,55002.020000,-1,-1.00,80.6786,8.1770,12.4280,6344.0000,True,short,
11769929,0.1977400,-1,55002.020000,-1,-1.00,82.7650,13.1145,12.3810,7581.0000,False,short,
9532219,0.1981551,0.0000001,55001.945386,0.011223,0.77,78.9874,11.9849,16.1180,5031.0000,False,short,
3446837,0.2009900,-1,55001.944010,-1,-1.00,71.4220,9.8493,10.2380,-1.0000,False,short,
6699679,0.2012033,0.0000001,54953.612834,0.011484,1.00,75.3042,10.2256,11.5740,-1.0000,False,short,
6287172,0.2038732,0.0000001,54953.651911,0.010821,0.95,74.2716,11.0419,12.7140,6646.0000,False,short,
9724220,0.2040121,-1,55021.825543,-1,0.96,80.1792,10.3673,11.7510,6709.0000,False,short,
5632197,0.2058800,-1,55002.095760,-1,-1.00,74.5156,8.7930,10.3050,8649.0000,False,short,
4569150,0.2062200,-1,55001.982060,-1,-1.00,72.9478,9.3071,12.0160,7464.0000,False,short,
7819878,0.2075364,-1,55000.062530,-1,0.98,75.5296,12.9110,16.0620,7623.0000,False,short,
11825204,0.2096356,0.0000001,54964.746093,0.012214,0.98,83.3887,12.1048,13.7970,7074.0000,False,short,
6309193,0.2124976,-1,54964.608057,-1,0.90,76.2886,7.2933,13.6740,5367.0000,False,short,
11969092,0.2128087,-1,54999.929382,-1,-1.00,82.9256,13.5933,15.2300,4904.0000,False,short,
8264404,0.2128460,-1,55001.972090,-1,-1.00,79.5469,6.8589,12.1930,7890.0000,True,short,
4921906,0.2137324,0.0000001,54964.617446,0.011635,0.96,72.4130,11.2310,15.2030,4800.0000,False,short,
7873014,0.2151700,0.0000001,55002.020000,0.001190,-1.00,73.5052,17.8008,13.5240,4879.0000,False,short,
9210037,0.2154636,-1,55002.121993,-1,1.00,76.6125,15.6587,13.4770,-1.0000,True,short,
4577647,0.2168400,-1,55002.020000,-1,-1.00,73.6847,7.9793,11.9000,-1.0000,False,short,
6387887,0.2169003,0.0000008,54999.968602,0.005585,0.58,76.4069,7.3539,17.0370,10648.0000,False,short,
9773512,0.2171900,-1,55002.044794,-1,-1.00,79.0101,12.8636,10.0410,7956.0000,True,short,
8288741,0.2197664,0.0000001,55000.119225,0.006874,0.64,75.1191,15.5587,14.4990,5557.0000,False,short,
12055255,0.2209394,0.0000001,54964.525184,0.011640,0.90,81.2592,17.7243,15.8660,4093.0000,False,short,
11013201,0.2273937,0.0000001,55001.990706,0.013106,0.98,77.9525,20.5223,9.2750,7779.0000,True,short,
8108785,0.2288269,0.0000001,54964.640700,0.012704,0.76,77.4115,10.0745,14.7570,4354.0000,False,short,
1572353,0.2289313,0.0000001,54964.674573,0.013123,0.91,69.7485,9.9451,15.2340,4470.0000,False,short,
10288502,0.2301847,0.0000001,54964.677419,0.013599,0.97,81.0008,10.8364,14.7940,6116.0000,False,short,
9238207,0.2313530,0.0000002,55001.966607,0.012257,0.75,79.9056,9.0882,15.6100,4910.0000,False,short,
5166136,0.2339477,0.0000001,54964.809081,0.013922,0.82,70.3939,16.2799,15.3490,4986.0000,False,short,
8555795,0.2345234,0.0000001,55000.099196,0.008403,0.63,76.3279,13.8353,15.9190,5002.0000,False,short,
6144827,0.2346497,0.0000001,54964.644135,0.013294,0.82,75.8604,7.7098,14.9970,5217.0000,False,short,
10030943,0.2357801,0.0000001,54953.674633,0.012916,1.00,81.1019,9.7171,11.3260,6704.0000,True,short,
10965091,0.2358555,0.0000001,54964.696236,0.013589,0.76,78.7688,17.9309,15.2800,4718.0000,False,short,
3120742,0.2362067,-1,54964.739660,-1,0.91,71.1963,9.6038,14.8440,5590.0000,False,short,
2715417,0.2364399,0.0000001,54964.666158,0.013583,0.77,70.7256,9.7376,14.0700,5189.0000,False,short,
9393015,0.2369440,-1,55002.152888,-1,0.89,76.4343,16.9427,14.5050,5636.0000,False,short,
11413213,0.2374665,0.0000002,55002.094949,0.014974,0.87,82.5467,12.0281,15.8610,4213.0000,False,short,
4035667,0.2379100,-1,55086.991363,-1,0.99,69.4254,15.4773,10.0350,7959.0000,True,short,
9077796,0.2380804,0.0000001,54964.645249,0.010138,0.72,76.1139,16.4436,15.4390,3516.0000,False,short,
5088308,0.2396122,-1,54953.641831,-1,1.00,71.6143,13.2630,8.6880,6567.0000,True,short,
6050127,0.2399081,-1,55002.134724,-1,0.76,74.5800,9.8154,13.5570,5404.0000,False,short,
